Date,PC1,BTC Close,popular index
1/3/2017,-2.149885965,25183,9.962440179
1/4/2017,-2.145641288,22281,10.73074949
1/5/2017,-2.129129833,24655,9.874515381
1/6/2017,-2.14915746,21964,10.57496327
1/7/2017,-2.165663982,17362,9.78098464
1/8/2017,-2.164575296,16490,8.423166119
1/9/2017,-2.161371385,17720,8.165882818
1/10/2017,-2.160007264,16258,8.528793896
1/11/2017,-2.157195783,17559,8.097431298
1/12/2017,-2.175500897,18224,8.481290901
1/13/2017,-2.171089849,16546,8.677498923
1/14/2017,-2.169569292,15220,8.182405599
1/15/2017,-2.169964641,12144,7.791169754
1/16/2017,-2.169865971,13679,6.883597009
1/17/2017,-2.169040163,16112,7.336498233
1/18/2017,-2.158685462,14637,8.054354048
1/19/2017,-2.162301179,14435,7.619155804
1/20/2017,-2.157644817,11860,7.559555773
1/21/2017,-2.157892473,10255,6.799802907
1/22/2017,-2.154649955,11029,6.326248208
1/23/2017,-2.155026198,14272,6.554616642
1/24/2017,-2.154608679,13062,7.511462679
1/25/2017,-2.159842477,12050,7.154452594
1/26/2017,-2.159947038,11932,6.855862342
1/27/2017,-2.15619934,11747,6.821046482
1/28/2017,-2.155301901,12571,6.766462296
1/29/2017,-2.15530013,11690,7.009583213
1/30/2017,-2.155707834,14073,6.749644465
1/31/2017,-2.15300824,13225,7.452747797
2/1/2017,-2.148022856,13278,7.202545688
2/2/2017,-2.146742757,13524,7.21818332
2/3/2017,-2.143904707,12876,7.290765536
2/4/2017,-2.141655475,11078,7.099573358
2/5/2017,-2.139386079,12070,6.569074075
2/6/2017,-2.141739185,13166,6.861763335
2/7/2017,-2.140901239,13554,7.185137759
2/8/2017,-2.137708109,13313,7.299617026
2/9/2017,-2.137143778,13381,7.228510058
2/10/2017,-2.148267776,12212,7.248573435
2/11/2017,-2.143994169,10009,6.903660386
2/12/2017,-2.142221433,10944,6.253665992
2/13/2017,-2.14434455,12472,6.529537421
2/14/2017,-2.144608598,11624,6.980373297
2/15/2017,-2.13870198,12330,6.730171188
2/16/2017,-2.136770882,12923,6.938476246
2/17/2017,-2.134571819,14331,7.113440692
2/18/2017,-2.132527702,12842,7.528870609
2/19/2017,-2.130658705,10644,7.08954167
2/20/2017,-2.129132164,12193,6.441022524
2/21/2017,-2.128332466,13870,6.898054443
2/22/2017,-2.124090277,13371,7.392852717
2/23/2017,-2.122999679,14046,7.245622938
2/24/2017,-2.112786655,15834,7.444781457
2/25/2017,-2.110515249,17751,7.972330243
2/26/2017,-2.111076146,16385,8.537940435
2/27/2017,-2.105903721,15063,8.134902604
2/28/2017,-2.102446567,15679,7.744846958
3/1/2017,-2.095194227,17507,7.926597546
3/2/2017,-2.076196641,18929,9.465948319
3/3/2017,-2.068144313,40347,9.885508931
3/4/2017,-2.056353153,25835,16.20488248
3/5/2017,-2.066349232,17862,11.92312186
3/6/2017,-2.066519722,20274,9.570690947
3/7/2017,-2.059002925,17149,10.28235072
3/8/2017,-2.065155019,15721,9.360320542
3/9/2017,-2.084389941,15556,8.938989632
3/10/2017,-2.06411936,19093,8.890306439
3/11/2017,-2.072001326,15958,9.933897075
3/12/2017,-2.027298301,14093,9.008916401
3/13/2017,-2.014355451,16417,8.458648791
3/14/2017,-2.004949794,19528,9.144344193
3/15/2017,-1.985711551,17689,10.06224368
3/16/2017,-1.962370822,16895,9.519647357
3/17/2017,-1.9651394,15663,9.285377929
3/18/2017,-1.964171721,15288,8.921876752
3/19/2017,-1.973820967,14669,8.811233131
3/20/2017,-1.956485327,17922,8.628597393
3/21/2017,-1.964010061,16453,9.588393927
3/22/2017,-1.962323614,14885,9.154965981
3/23/2017,-1.963675112,14546,8.692328119
3/24/2017,-1.960487601,13225,8.592306285
3/25/2017,-1.956008712,11334,8.202545688
3/26/2017,-1.96924577,12736,7.644606787
3/27/2017,-1.969962156,13370,8.058266406
3/28/2017,-1.978319974,13970,8.245327889
3/29/2017,-1.972005531,13533,8.422357683
3/30/2017,-1.9714251,13812,8.293420983
3/31/2017,-1.961848405,12980,8.375739837
4/1/2017,-1.96544771,11815,8.130258523
4/2/2017,-1.968605843,11420,6.786525672
4/3/2017,-1.949550814,14614,6.669981058
4/4/2017,-1.964384732,14537,7.612369662
4/5/2017,-1.947920723,13465,7.589650838
4/6/2017,-1.922919061,13169,7.273357606
4/7/2017,-1.943023787,13208,7.186022908
4/8/2017,-1.945226488,11200,7.197529844
4/9/2017,-1.938458089,10873,6.605070133
4/10/2017,-1.949854323,13166,6.508588896
4/11/2017,-1.95189929,16999,7.185137759
4/12/2017,-1.952820362,13871,8.316063093
4/13/2017,-1.927880593,13786,7.393147767
4/14/2017,-1.921603047,12174,7.368068546
4/15/2017,-1.923967129,10065,6.892448499
4/16/2017,-1.917097558,11044,6.270188773
4/17/2017,-1.917650035,18666,6.559042387
4/18/2017,-1.918369573,22995,8.807910871
4/19/2017,-1.920450442,15773,10.08518084
4/20/2017,-1.92904123,14703,7.954332214
4/21/2017,-1.923058976,14230,7.638629081
4/22/2017,-1.914873295,11143,7.499070594
4/23/2017,-1.905449957,12071,6.588252303
4/24/2017,-1.899164649,16047,6.862058384
4/25/2017,-1.896970296,16503,8.03517582
4/26/2017,-1.894084448,14681,8.169718464
4/27/2017,-1.887662175,14889,7.632137989
4/28/2017,-1.858510873,13791,7.693508317
4/29/2017,-1.838312855,11038,7.369543794
4/30/2017,-1.803384386,16195,6.557272089
5/1/2017,-1.795272998,14544,8.078843169
5/2/2017,-1.797009851,17143,9.591716186
5/3/2017,-1.796920777,17277,10.35855024
5/4/2017,-1.751420659,19238,10.3980869
5/5/2017,-1.696904121,16900,10.97667928
5/6/2017,-1.671468955,17793,10.28685318
5/7/2017,-1.638957309,17777,10.55033252
5/8/2017,-1.589387544,19666,10.54561173
5/9/2017,-1.551725632,23935,11.10296053
5/10/2017,-1.574715388,24385,12.36252751
5/11/2017,-1.542136516,25185,12.49529986
5/12/2017,-1.544152634,39626,12.73133958
5/13/2017,-1.564719303,47817,16.99215168
5/14/2017,-1.539664235,43113,19.40890342
5/15/2017,-1.531740208,91099,18.02098983
5/16/2017,-1.514386352,88685,32.17924267
5/17/2017,-1.480474824,59979,31.46699279
5/18/2017,-1.421144425,45865,22.99729735
5/19/2017,-1.391483474,38662,18.83296649
5/20/2017,-1.362851208,33314,16.70772381
5/21/2017,-1.334850964,31659,15.12979825
5/22/2017,-1.321094001,70929,14.64149106
5/23/2017,-1.294590417,77232,26.22809109
5/24/2017,-1.190139271,70266,28.08778907
5/25/2017,-1.131938542,73348,26.03247317
5/26/2017,-1.288052876,61597,26.94181621
5/27/2017,-1.316153951,41682,23.47468769
5/28/2017,-1.428709677,32640,17.59877377
5/29/2017,-1.357734733,35534,14.93093478
5/30/2017,-1.292861216,35423,15.78480848
5/31/2017,-1.277157908,34254,15.75205797
6/1/2017,-1.197039909,31694,15.40714492
6/2/2017,-1.110587432,28056,14.6518178
6/3/2017,-1.117164761,25776,13.57842715
6/4/2017,-1.12058708,23455,12.90571393
6/5/2017,-1.086971341,28797,12.22090368
6/6/2017,-1.049669396,35757,13.79705895
6/7/2017,-1.022235848,33834,15.85060456
6/8/2017,-1.071739563,27396,15.28322407
6/9/2017,-1.034287362,26320,13.38369438
6/10/2017,-1.006252299,23523,13.06622094
6/11/2017,-0.926597119,27303,12.24096705
6/12/2017,-0.834773893,35940,13.35625476
6/13/2017,-0.855720517,32860,15.90459864
6/14/2017,-0.819161085,28795,14.9958457
